item_id,package,description,room,qty,unit,rate,amount,source_pages,method,confidence,scale_basis,bucket,geometry_refs,infer_reason
FLR-001,flooring,Flooring in Brickwork Plan-Stilt Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-002,wall_finishes,Wall finish in Brickwork Plan-Stilt Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-003,wall_finishes,Ceiling in Brickwork Plan-Stilt Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-004,flooring,Flooring in Brickwork Plan-Ground Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-005,wall_finishes,Wall finish in Brickwork Plan-Ground Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-006,wall_finishes,Ceiling in Brickwork Plan-Ground Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-007,flooring,Flooring in Brickwork Plan-First Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-008,wall_finishes,Wall finish in Brickwork Plan-First Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-009,wall_finishes,Ceiling in Brickwork Plan-First Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-010,flooring,Flooring in Brickwork Plan-Second Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-011,wall_finishes,Wall finish in Brickwork Plan-Second Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-012,wall_finishes,Ceiling in Brickwork Plan-Second Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-013,flooring,Flooring in Brickwork Plan-Third Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-014,wall_finishes,Wall finish in Brickwork Plan-Third Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-015,wall_finishes,Ceiling in Brickwork Plan-Third Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-016,flooring,Flooring in Brickwork Plan-Mezzanine Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-017,wall_finishes,Wall finish in Brickwork Plan-Mezzanine Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-018,wall_finishes,Ceiling in Brickwork Plan-Mezzanine Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-019,flooring,Flooring in Brickwork Plan-Fourth Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-020,wall_finishes,Wall finish in Brickwork Plan-Fourth Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-021,wall_finishes,Ceiling in Brickwork Plan-Fourth Floor (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-022,flooring,Flooring in Brickwork Plan-Terrace Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-023,wall_finishes,Wall finish in Brickwork Plan-Terrace Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-024,wall_finishes,Ceiling in Brickwork Plan-Terrace Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-025,flooring,Flooring in Brickwork Plan-Mumty Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-026,wall_finishes,Wall finish in Brickwork Plan-Mumty Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-027,wall_finishes,Ceiling in Brickwork Plan-Mumty Level Plan (Annex Building),,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-028,flooring,Flooring in Staircase Detail-Stilt To Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-029,wall_finishes,Wall finish in Staircase Detail-Stilt To Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-030,wall_finishes,Ceiling in Staircase Detail-Stilt To Ground Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-031,flooring,Flooring in Staircase Detail-Ground Floor To First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-032,wall_finishes,Wall finish in Staircase Detail-Ground Floor To First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-033,wall_finishes,Ceiling in Staircase Detail-Ground Floor To First Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-034,flooring,Flooring in Staircase Detail-First Floor To Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-035,wall_finishes,Wall finish in Staircase Detail-First Floor To Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-036,wall_finishes,Ceiling in Staircase Detail-First Floor To Second Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-037,flooring,Flooring in Staircase Detail-Second Floor To Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-038,wall_finishes,Wall finish in Staircase Detail-Second Floor To Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-039,wall_finishes,Ceiling in Staircase Detail-Second Floor To Third Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-040,flooring,Flooring in Staircase Detail-Third Floor To Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-041,wall_finishes,Wall finish in Staircase Detail-Third Floor To Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
CLG-042,wall_finishes,Ceiling in Staircase Detail-Third Floor To Fourth Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
FLR-043,flooring,Flooring in Staircase Detail-Fourth Floor To Terrace Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
WF-044,wall_finishes,Wall finish in Staircase Detail-Fourth Floor To Terrace Floor,,,sqm,,,,inferred,0.00,unknown,inferred,,No drawing evidence. Inferred from template.
