RFI ID,Title,Trade,Priority,Missing Info,Why It Matters,Evidence Pages,Detected Items,Suggested Resolution
RFI-0002,No Sections found in drawing set,Architectural,HIGH,"Drawing set has 78 pages but no sections were detected. This may affect scope coverage for architectural work.","Cannot verify architectural scope without sections","","","Provide sections or confirm if not applicable to project scope."
RFI-0010,Door schedule required - 16 door types detected,Architectural,HIGH,"Detected 161 doors with 16 unique tags. Door schedule needed to price doors, frames, and hardware.","Cannot price 161 doors without schedule","60, 70, 1, 23, 56","D1, D10, D2, D2A, D3, D4, D5, D6, D7, D8","Provide door schedule with columns: Mark, Size (W x H), Type, Frame Material, Shutter Material, Hardware"
RFI-0011,Window schedule required - 11 window types detected,Architectural,HIGH,"Detected 197 windows with 11 unique tags. Window schedule needed to price windows, frames, and glazing.","Cannot price 197 windows without schedule","1, 28, 78, 6, 62","W1, W2, W3, W4, W5, WINDOW, WINDOWAS, W6, W7","Provide window schedule with columns: Mark, Size (W x H), Type, Frame, Glass spec, Grille"
RFI-0012,Finish schedule required - 23 finishes detected,Architectural,HIGH,"Detected 23 unique finish types. Finish schedule needed to specify materials and pricing.","Cannot price finishes without schedule","","DADO, MIRROR, FFL, SF-1, SF-10, SF-11, SF-12, SF-13, SF-14","Provide finish schedule with columns: Code, Description, Location, Material spec, Application"
RFI-0013,Scale not detected on 58 drawing pages,General,HIGH,"58 candidate pages have no detectable scale. Areas cannot be measured reliably without scale.","Measurements on these pages are unreliable","1, 2, 3, 4, 5, 6, 7, 8, 18, 19","","Add scale notation (e.g., 1:100) to all drawings, or provide scale in tender documents."
RFI-0014,Critical scope gap identified,General,HIGH,"No room data found - cannot generate BOQ","Pricing cannot proceed","","","Clarify scope or provide missing information."
RFI-0015,Waterproofing specification required for 21 wet areas,Civil,MEDIUM,"Detected 21 wet area rooms: 15x toilet, 4x utility, 2x kitchen. Waterproofing treatment and tile specifications needed.","Cannot price waterproofing without spec","","toilet, utility, kitchen","Specify waterproofing system (membrane type, brand) and tile specifications for wet areas."
RFI-0001,No Elevations found in drawing set,Architectural,MEDIUM,"Drawing set has 78 pages but no elevations were detected.","Cannot verify architectural scope without elevations","","","Provide elevations or confirm if not applicable to project scope."
RFI-0006,No Detail Drawings found in drawing set,Architectural,MEDIUM,"Drawing set has 78 pages but no detail drawings were detected.","Cannot verify architectural scope without detail drawings","","","Provide detail drawings or confirm if not applicable to project scope."
RFI-0003,No MEP Drawings found in drawing set,MEP,MEDIUM,"Drawing set has 78 pages but no mep drawings were detected.","Cannot verify mep scope without mep drawings","","","Provide mep drawings or confirm if not applicable to project scope."
RFI-0004,No Electrical Drawings found in drawing set,MEP,MEDIUM,"Drawing set has 78 pages but no electrical drawings were detected.","Cannot verify mep scope without electrical drawings","","","Provide electrical drawings or confirm if not applicable to project scope."
RFI-0005,No Plumbing Drawings found in drawing set,MEP,MEDIUM,"Drawing set has 78 pages but no plumbing drawings were detected.","Cannot verify mep scope without plumbing drawings","","","Provide plumbing drawings or confirm if not applicable to project scope."
RFI-0007,No Structural Drawings found in drawing set,Structural,MEDIUM,"Drawing set has 78 pages but no structural drawings were detected (floor plans exist).","Cannot verify structural scope","","","Provide structural drawings or confirm if not applicable to project scope."
RFI-0008,No Foundation Drawings found in drawing set,Structural,MEDIUM,"Drawing set has 78 pages but no foundation drawings were detected.","Cannot verify structural scope without foundation drawings","","","Provide foundation drawings or confirm if not applicable to project scope."
RFI-0009,No Site Plan found in drawing set,Civil,MEDIUM,"Drawing set has 78 pages but no site plans were detected.","Cannot verify civil scope without site plan","","","Provide site plan or confirm if not applicable to project scope."
